country,code,count
Argelia,DZA,1
Argentina,ARG,11
Austria,AUT,1
Belgium,BEL,1
Brazil,BRA,1
Canada,CAN,4
Chile,CHL,1
Colombia,COL,1
Czech Republic,CZE,2
Denmark,DNK,1
United Kingdom,GBR,12
Finland,FIN,1
France,FRA,3
Germany,DEU,2
Ghana,GHA,1
Greece,GRC,2
Hungary,HUN,2
India,IND,1
Iran,IRN,2
Ireland,IRL,4
Italy,ITA,2
Japan,JPN,4
Mauritania,MRT,1
Mexico,MEX,1
Netherlands,NLD,1
Norway,NOR,1
Portugal,PRT,35
Romania,ROU,1
Russia,RUS,3
Slovenia,SVN,1
Spain,ESP,5
Sweden,SWE,1
United Arab Emirates,ARE,1
United States,USA,48
